Date,Power Station,Monitored Cap.(MW),Total Cap. Under Maintenace (MW),Planned Maintanence (MW),Forced Maintanence(MW),Other Reasons (MW),Programme (MW),Actual (MW),Excess(+) / Shortfall (-) (MW),Deviation (MW)
01-09-2017,GMR BHHPL,0,0,0,0,0,0,0,0,0
01-09-2017,NUPPL,0,0,0,0,0,2.97,0,-2.97,-100
01-09-2017,NTPC Ltd.,13274.06,4247.47,500,3439.46,308.01,174.33,139.67,-34.66,-19.88
01-09-2017,NPL,1400,0,0,0,0,14.26,25.25,10.99,77.07
01-09-2017,NPCIL,1520,0,0,0,0,26.32,34.25,7.93,30.13
01-09-2017,NLC,250,125,125,0,0,2.29,2.95,0.66,28.82
01-09-2017,NHPC,4484.2,833.4,290,0,543.4,76.63,67.39,-9.24,-12.06
01-09-2017,MUNPL,1320,0,0,0,0,19.68,25.58,5.9,29.98
01-09-2017,MPCL,86,0,0,0,0,0.94,5.92,4.98,529.79
01-09-2017,L&T,99,0,0,0,0,0.9,0,-0.9,-100
01-09-2017,LPGCL,1980,0,0,0,0,26.67,30.74,4.07,15.26
01-09-2017,LAPPL,1200,0,0,0,0,24.78,24.74,-0.04,-0.16
01-09-2017,JPPVL,400,0,0,0,0,5.32,3.73,-1.59,-29.89
01-09-2017,JhPL(HR),1320,0,0,0,0,22.26,20.64,-1.62,-7.28
01-09-2017,IAEPL,36,0,0,0,0,0.48,0.37,-0.11,-22.92
01-09-2017,HSPCL,0,0,0,0,0,0,0,0,0
01-09-2017,HBPCL,1300,0,0,0,0,21.19,12.57,-8.62,-40.68
01-09-2017,GPGSL (GVK),540,540,0,540,0,5.36,0,-5.36,-100
01-09-2017,NHDC,1520,190,190,0,0,6.35,14.73,8.38,131.97
01-09-2017,NPCIL,1840,1080,540,540,0,35,18.28,-16.72,-47.77
01-09-2017,NSPCL,500,0,0,0,0,10.04,9.44,-0.6,-5.98
01-09-2017,NTPC Ltd.,19813.59,3635.59,660,2975.59,0,294.84,349.6,54.76,18.57
01-09-2017,SEPL,600,600,0,600,0,0,0,0,0
01-09-2017,SEPCPPL,0,0,0,0,0,4.1,0,-4.1,-100
01-09-2017,SEIL,2640,0,0,0,0,55.32,50.08,-5.24,-9.47
01-09-2017,SAMALPATI,105.7,0,0,0,0,0,0,0,0
01-09-2017,PPNPGCL,330.5,330.5,0,0,330.5,0.13,0,-0.13,-100
01-09-2017,PENNA,52.8,0,0,0,0,0.67,1.04,0.37,55.22
01-09-2017,NTPL,1000,0,0,0,0,16.29,13.55,-2.74,-16.82
01-09-2017,SPGL,208,94,0,0,94,2.2,1.29,-0.91,-41.36
01-09-2017,NTPC Ltd.,7359.58,3600,700,2900,0,57.94,63,5.06,8.73
01-09-2017,NPCIL,3320,440,220,220,0,63.6,60.93,-2.67,-4.2
01-09-2017,NLC,3390,670,210,460,0,53.14,58.42,5.28,9.94
01-09-2017,MEL,300,0,0,0,0,0.26,4.32,4.06,1561.54
01-09-2017,MADURAI P,106,0,0,0,0,0,0.7,0.7,0
01-09-2017,LVS POWER,36.8,0,0,0,0,0,0,0,0
01-09-2017,KONDAPALI,1476.14,1229.28,0,121.28,1108,2.13,2.28,0.15,7.04
01-09-2017,KONA,445,445,0,0,445,0,0,0,0
01-09-2017,NTECL,1500,0,0,0,0,24.35,20.21,-4.14,-17
01-09-2017,ST-CMSECP,250,0,0,0,0,3.29,5.09,1.8,54.71
01-09-2017,UPCL,1200,1200,0,1200,0,11.48,0,-11.48,-100
01-09-2017,VEMAGIRI,370,370,0,0,370,0,0,0,0
01-09-2017,ICCL,0,0,0,0,0,0.42,1.06,0.64,152.38
01-09-2017,IBPIL,350,350,0,350,0,0,0,0,0
01-09-2017,HMEL,300,300,0,300,0,2.7,0,-2.7,-100
01-09-2017,HEL,600,0,0,0,0,12.55,11.99,-0.56,-4.46
01-09-2017,GMR ENERG,1050,700,0,700,0,20.8,12.56,-8.24,-39.62
01-09-2017,GIPL,110,55,0,0,55,1.39,1.09,-0.3,-21.58
01-09-2017,DVC,7103.2,1270,210,420,640,111.39,114.71,3.32,2.98
01-09-2017,DEPL,96,48,48,0,0,0.71,0.7,-0.01,-1.41
01-09-2017,CPL,0,0,0,0,0,0,0,0,0
01-09-2017,CESC,1125,375,0,240,135,16.58,17.15,0.57,3.44
01-09-2017,BRBCL,750,0,0,0,0,14.84,17.58,2.74,18.46
01-09-2017,ADHUNIK,540,0,0,0,0,4.65,10.98,6.33,136.13
01-09-2017,West Bengal,6356,1577,18,800,759,82.48,87.33,4.85,5.88
01-09-2017,Sikkim,1200,0,0,0,0,12.9,14.43,1.53,11.86
01-09-2017,Odisha,3882.25,303,279,24,0,47.5,43.85,-3.65,-7.68
01-09-2017,Jharkhand,550,210,0,210,0,6.7,3.29,-3.41,-50.9
01-09-2017,Andaman & Nicobar Islands,40.05,0,0,0,0,0.42,0.36,-0.06,-14.29
01-09-2017,JSWEL,860,130,0,130,0,6.65,12.57,5.92,89.02
01-09-2017,ONGC,726.6,363.3,0,0,363.3,14.35,7.85,-6.5,-45.3
01-09-2017,ITPCL,1200,600,0,600,0,20.16,7.98,-12.18,-60.42
01-09-2017,HNPC,1040,1040,0,1040,0,7.16,0,-7.16,-100
01-09-2017,TOR. POW. (UNOSUGEN),1944.5,1320,0,120,1200,12.75,10.69,-2.06,-16.16
01-09-2017,TOR. POW. (SUGEN),1147.5,0,0,0,0,15.59,18.25,2.66,17.06
01-09-2017,TATA PCL,930,0,0,0,0,15.71,21.2,5.49,34.95
01-09-2017,TATA MAH.,447,49,0,49,0,4.2,4.43,0.23,5.48
01-09-2017,SVPPL,63,63,0,63,0,0,0,0,0
01-09-2017,STPL,1350,1350,0,1350,0,0,0,0,0
01-09-2017,SPPL,150,150,0,150,0,0,0,0,0
01-09-2017,TRNE,600,300,0,300,0,8.23,6.65,-1.58,-19.2
01-09-2017,SPL,3960,0,0,0,0,92.13,96.67,4.54,4.93
01-09-2017,SCPL,100,0,0,0,0,1.81,2.1,0.29,16.02
01-09-2017,RKMPPL,1440,1080,0,1080,0,9.59,9.97,0.38,3.96
01-09-2017,RGPPL,1967.08,1303.54,0,0,1303.54,6.98,10.67,3.69,52.87
01-09-2017,RELIANCE,48,48,0,0,48,0,0,0,0
01-09-2017,REGL,600,0,0,0,0,6.68,13.67,6.99,104.64
01-09-2017,RATTANINDIA,1350,0,0,0,0,13.05,31.29,18.24,139.77
01-09-2017,PGPL,388,388,0,0,388,0,0,0,0
01-09-2017,SKS,600,300,0,300,0,6.84,7.18,0.34,4.97
01-09-2017,VESPL,35,35,0,35,0,0,0,0,0
01-09-2017,VIP,600,600,0,600,0,0,0,0,0
01-09-2017,VVL,135,135,0,135,0,0,0,0,0
01-09-2017,GVKP&IL,220,220,0,0,220,0,0,0,0
01-09-2017,GREL,768,768,0,0,768,0,0,0,0
01-09-2017,GMR ENERG,220,220,0,0,220,0,0,0,0
01-09-2017,GAUTAMI,464,464,0,0,464,0,0,0,0
01-09-2017,CEPL,1200,1200,0,1200,0,10.96,0,-10.96,-100
01-09-2017,BSES(C),174,174,0,0,174,0,0,0,0
01-09-2017,BSES  AP,220,220,0,0,220,0,0,0,0
01-09-2017,BELLARY,25.2,0,0,0,0,0,0,0,0
01-09-2017,APGPCL,272,205,205,0,0,2.35,1.44,-0.91,-38.72
01-09-2017,ABAN POWR,119.8,0,0,0,0,1.48,0.75,-0.73,-49.32
01-09-2017,Telangana,7378.1,2291.6,0,400,1891.6,101.23,89.95,-11.28,-11.14
01-09-2017,Tamil Nadu,7012.28,3176.73,427,1978.23,771.5,92.29,48.91,-43.38,-47
01-09-2017,Puducherry,32.5,0,0,0,0,0.65,0.65,0,0
01-09-2017,Kerala,2016.46,274.5,125,76,73.5,22.44,20.44,-2,-8.91
01-09-2017,Karnataka,8664.2,2756.8,50,1869.8,837,94.86,79.8,-15.06,-15.88
01-09-2017,Andhra Pradesh,6855.4,2555.6,0,2450,105.6,95.64,46.66,-48.98,-51.21
01-09-2017,WPCL,2340,405,0,405,0,31.23,34.24,3.01,9.64
01-09-2017,IBPIL,300,300,0,300,0,0,0,0,0
01-09-2017,NTPC Ltd.,750,250,0,250,0,7.95,6.64,-1.31,-16.48
01-09-2017,NHPC,105,0,0,0,0,1.61,0.73,-0.88,-54.66
01-09-2017,NEEPCO.,2027,555,55,500,0,22.28,23.16,0.88,3.95
01-09-2017,LANCO,600,0,0,0,0,13.16,12.75,-0.41,-3.12
01-09-2017,JSWEL,1200,300,0,300,0,23,20.98,-2.02,-8.78
01-09-2017,JPPVL,1820,250,0,250,0,27.86,31.18,3.32,11.92
01-09-2017,JPL,3400,1700,0,1450,250,24.72,29.51,4.79,19.38
01-09-2017,JHAPL,600,0,0,0,0,9.32,10.47,1.15,12.34
01-09-2017,IEPL,270,270,0,270,0,0.55,0,-0.55,-100
01-09-2017,GMR ENERG,600,300,0,300,0,11.81,6.97,-4.84,-40.98
01-09-2017,LVTPL,0,0,0,0,0,0,0,0,0
01-09-2017,GIPCL,660,285,125,0,160,9.84,7.86,-1.98,-20.12
01-09-2017,GCEL,1370,0,0,0,0,15.45,27.77,12.32,79.74
01-09-2017,ESSARPMPL,1200,600,0,600,0,11.77,6.72,-5.05,-42.91
01-09-2017,ESSAR,515,515,0,295,220,0,0,0,0
01-09-2017,EPGL,1200,1200,0,1200,0,6.13,0,-6.13,-100
01-09-2017,DLHP,34,0,0,0,0,0.23,0,-0.23,-100
01-09-2017,DIL,600,0,0,0,0,6.32,12.52,6.2,98.1
01-09-2017,DBPCL,1200,0,0,0,0,21.52,21.89,0.37,1.72
01-09-2017,GEPL,120,120,0,120,0,0,0,0,0
01-09-2017,MBPMPL,1200,1200,0,1200,0,19.16,0,-19.16,-100
01-09-2017,MCCPL,300,0,0,0,0,5.74,6.4,0.66,11.5
01-09-2017,NHDC,1520,190,190,0,0,6.35,14.47,8.12,127.87
01-09-2017,TATA PCL,930,0,0,0,0,15.71,21.08,5.37,34.18
01-09-2017,TATA MAH.,447,49,0,49,0,4.2,3.61,-0.59,-14.05
01-09-2017,SVPPL,63,63,0,63,0,0,0,0,0
01-09-2017,STPL,1350,1350,0,1350,0,0,0,0,0
01-09-2017,SPPL,150,150,0,150,0,0,0,0,0
01-09-2017,SPL,3960,0,0,0,0,92.13,96.42,4.29,4.66
01-09-2017,SKS,600,300,0,300,0,6.84,7.18,0.34,4.97
01-09-2017,SCPL,100,0,0,0,0,1.81,2.2,0.39,21.55
01-09-2017,RKMPPL,1440,1080,0,1080,0,9.59,11.01,1.42,14.81
01-09-2017,RGPPL,1967.08,1303.54,0,0,1303.54,6.98,10.34,3.36,48.14
01-09-2017,RELIANCE,48,48,0,0,48,0,0,0,0
01-09-2017,REGL,600,0,0,0,0,6.68,14.04,7.36,110.18
01-09-2017,RATTANINDIA,1350,0,0,0,0,13.05,31.31,18.26,139.92
01-09-2017,PGPL,388,388,0,0,388,0,0,0,0
01-09-2017,NTPC Ltd.,19813.59,3475.59,0,3475.59,0,294.84,319.63,24.79,8.41
01-09-2017,NSPCL,500,0,0,0,0,10.04,7.37,-2.67,-26.59
01-09-2017,NPCIL,1840,1080,540,540,0,35,18.26,-16.74,-47.83
01-09-2017,CLPINDIA,655,655,0,0,655,0,0,0,0
01-09-2017,TOR. POW. (SUGEN),1147.5,0,0,0,0,15.59,16.33,0.74,4.75
01-09-2017,CGPL,4000,3200,800,2400,0,61.6,15.26,-46.34,-75.23
01-09-2017,BALCO,600,0,0,0,0,8.23,12.97,4.74,57.59
01-09-2017,NLC,250,125,0,125,0,2.29,2.9,0.61,26.64
01-09-2017,NHPC,4484.2,569.4,290,0,279.4,76.63,70.02,-6.61,-8.63
01-09-2017,MUNPL,1320,0,0,0,0,19.68,18,-1.68,-8.54
01-09-2017,MPCL,86,0,0,0,0,0.94,0.6,-0.34,-36.17
01-09-2017,L&T,99,0,0,0,0,0.9,0,-0.9,-100
01-09-2017,LPGCL,1980,0,0,0,0,26.67,28.32,1.65,6.19
01-09-2017,LAPPL,1200,0,0,0,0,24.78,26.72,1.94,7.83
01-09-2017,NPCIL,1520,0,0,0,0,26.32,34.26,7.94,30.17
01-09-2017,JPPVL,400,0,0,0,0,5.32,4.22,-1.1,-20.68
01-09-2017,IAEPL,36,0,0,0,0,0.48,0.44,-0.04,-8.33
01-09-2017,HSPCL,0,0,0,0,0,0,0,0,0
01-09-2017,HBPCL,1300,0,0,0,0,21.19,14.64,-6.55,-30.91
01-09-2017,GPGSL (GVK),540,540,0,540,0,5.36,0,-5.36,-100
01-09-2017,GMR BHHPL,0,0,0,0,0,0,0,0,0
01-09-2017,GIPL,225,0,0,0,0,0.97,2.34,1.37,141.24
01-09-2017,GBHPPL,70,0,0,0,0,0.97,0.54,-0.43,-44.33
01-09-2017,JhPL(HR),1320,0,0,0,0,22.26,21.24,-1.02,-4.58
01-09-2017,NPL,1400,0,0,0,0,14.26,22.32,8.06,56.52
01-09-2017,NTPC Ltd.,13274.06,4747.47,500,3939.46,308.01,174.33,135.59,-38.74,-22.22
01-09-2017,NUPPL,0,0,0,0,0,2.97,0,-2.97,-100
01-09-2017,APL,7920,1320,0,1320,0,147.63,121.14,-26.49,-17.94
01-09-2017,AMNEPL,246,246,0,246,0,0,0,0,0
01-09-2017,AEML,500,0,0,0,0,11.74,12.03,0.29,2.47
01-09-2017,ACPL,0,0,0,0,0,0,0,0,0
01-09-2017,ACB,325,325,0,325,0,5.48,0,-5.48,-100
01-09-2017,Maharashtra,12988,3266,250,2698,318,181.72,166.35,-15.37,-8.46
01-09-2017,Madhya Pradesh,6115,2805,15,2520,270,68.89,49.03,-19.86,-28.83
01-09-2017,Gujarat,9577.82,4242.72,50,2521.72,1671,78.3,62.41,-15.89,-20.29
01-09-2017,Chhatisgarh,2960,210,0,0,210,58.32,46.67,-11.65,-19.98
01-09-2017,TSPL,1980,1320,660,0,660,35.49,15.05,-20.44,-57.59
01-09-2017,TPDDL,108,108,0,0,108,0,0,0,0
01-09-2017,THDC,1400,0,0,0,0,9.32,4.84,-4.48,-48.07
01-09-2017,SrEPL,225,0,0,0,0,1.93,2.43,0.5,25.91
01-09-2017,SJVNL,1912.02,1387.34,0,0,1387.34,35.87,25.72,-10.15,-28.3
01-09-2017,RWPL (JSW),1080,270,0,270,0,21.43,17.01,-4.42,-20.63
01-09-2017,RPSCL,1200,0,0,0,0,16.97,16.78,-0.19,-1.12
01-09-2017,PPGCL (Jaypee),1980,0,0,0,0,29.42,31.03,1.61,5.47
01-09-2017,BLAPPL,90,45,0,45,0,1.29,0.55,-0.74,-57.36
01-09-2017,DAE,100,100,0,100,0,0,0,0,0
01-09-2017,TOR. POW. (UNOSUGEN),1944.5,1320,0,120,1200,12.75,11.89,-0.86,-6.75
01-09-2017,VESPL,35,35,0,35,0,0,0,0,0
01-09-2017,HEL,600,0,0,0,0,12.55,11.07,-1.48,-11.79
01-09-2017,GMR ENERG,1050,0,0,0,0,20.8,20.13,-0.67,-3.22
01-09-2017,GIPL,110,0,0,0,0,1.39,1.32,-0.07,-5.04
01-09-2017,DVC,7103.2,1250,210,420,620,111.39,110.39,-1,-0.9
01-09-2017,DEPL,96,48,48,0,0,0.71,0.98,0.27,38.03
01-09-2017,CPL,0,0,0,0,0,0,0,0,0
01-09-2017,CESC,1125,375,0,240,135,16.58,15.93,-0.65,-3.92
01-09-2017,HMEL,300,300,0,300,0,2.7,0,-2.7,-100
01-09-2017,BRBCL,750,0,0,0,0,14.84,17.58,2.74,18.46
01-09-2017,West Bengal,6356,1997,18,1220,759,82.48,73.89,-8.59,-10.41
01-09-2017,Sikkim,1200,0,0,0,0,12.9,13.85,0.95,7.36
01-09-2017,Odisha,3882.25,303,279,24,0,47.5,38.07,-9.43,-19.85
01-09-2017,Jharkhand,550,210,0,210,0,6.7,3.27,-3.43,-51.19
01-09-2017,Andaman & Nicobar Islands,40.05,0,0,0,0,0.42,0.36,-0.06,-14.29
01-09-2017,VEMAGIRI,370,370,0,0,370,0,0,0,0
01-09-2017,UPCL,1200,1200,0,1200,0,11.48,0,-11.48,-100
01-09-2017,ADHUNIK,540,0,0,0,0,4.65,10.88,6.23,133.98
01-09-2017,IBPIL,350,350,0,350,0,0,0,0,0
01-09-2017,ICCL,0,0,0,0,0,0.42,0.31,-0.11,-26.19
01-09-2017,JITPL,1200,0,0,0,0,12.23,25.59,13.36,109.24
01-09-2017,Tripura,137,32,0,0,32,1.57,1.61,0.04,2.55
